"Date","Value","Publish Date"
"2021-05-04 21:35:00","12972.2","2021-05-04 21:40:06"
"2021-05-04 21:40:00","12769.5","2021-05-04 21:45:02"
"2021-05-04 21:45:00","12730.5","2021-05-04 21:50:02"
"2021-05-04 21:50:00","12655.5","2021-05-04 21:55:02"
"2021-05-04 21:55:00","12655.5","2021-05-04 22:00:04"
"2021-05-04 22:00:00","12440.3","2021-05-04 22:05:04"
"2021-05-04 22:05:00","12469.8","2021-05-04 22:15:03"
"2021-05-04 22:10:00","12325.7","2021-05-04 22:20:06"
"2021-05-04 22:15:00","12297.9","2021-05-04 22:25:06"
"2021-05-04 22:20:00","12156","2021-05-04 22:25:06"
"2021-05-04 22:25:00","12169","2021-05-04 22:30:05"
"2021-05-04 22:30:00","12104.7","2021-05-04 22:35:02"
"2021-05-04 22:35:00","11906.5","2021-05-04 22:40:08"
"2021-05-04 22:40:00","11837.3","2021-05-04 22:45:02"
"2021-05-04 22:45:00","11837.3","2021-05-04 22:50:05"
"2021-05-04 22:50:00","11662.4","2021-05-04 22:55:07"
"2021-05-04 22:55:00","11473.3","2021-05-04 23:00:05"
"2021-05-04 23:00:00","11401.9","2021-05-04 23:05:06"
"2021-05-04 23:05:00","11361.2","2021-05-04 23:10:02"
"2021-05-04 23:10:00","11218.3","2021-05-04 23:15:06"
"2021-05-04 23:15:00","11156.7","2021-05-04 23:20:04"
"2021-05-04 23:20:00","11156.7","2021-05-04 23:25:06"
"2021-05-04 23:25:00","11167","2021-05-04 23:30:07"
"2021-05-04 23:30:00","11016.7","2021-05-04 23:35:03"
"2021-05-04 23:35:00","11034.4","2021-05-04 23:40:02"
"2021-05-04 23:40:00","10994.2","2021-05-04 23:45:02"
"2021-05-04 23:45:00","10777.4","2021-05-04 23:50:02"
"2021-05-04 23:50:00","10709.6","2021-05-04 23:55:07"
"2021-05-04 23:55:00","10709.6","2021-05-05 00:00:05"
