,dap,target,error,class
215,72380,71719.404,-660.596000000005,1
216,68983,68333.005,-649.9949999999953,1
217,66868,66405.258,-462.74199999999837,1
218,65663,65231.076,-431.92399999999907,1
219,65332,64895.122,-436.877999999997,1
220,66603,66094.787,-508.2130000000034,1
221,70199,69503.51,-695.4900000000052,1
222,76949,75875.23,-1073.770000000004,1
223,81576,80956.269,-619.7309999999998,1
224,83573,83188.274,-384.7259999999951,1
225,84529,84006.508,-522.4919999999984,1
226,85006,84422.163,-583.8369999999995,1
227,84841,84758.277,-82.72299999999814,1
228,85257,84669.18,-587.820000000007,1
229,85256,84610.177,-645.823000000004,1
230,84983,83917.243,-1065.7569999999978,1
231,83846,83092.242,-753.7580000000016,1
232,83656,83109.826,-546.1739999999991,1
233,84124,83362.041,-761.9590000000026,1
234,85309,83082.635,-2226.3650000000052,0
235,84837,83642.005,-1194.9949999999953,1
236,85043,84055.397,-987.6030000000028,1
237,81939,80999.587,-939.4130000000005,1
238,77386,76323.07,-1062.929999999993,1
239,72589,71653.749,-935.2510000000038,1
240,69002,68247.541,-754.4590000000026,1
241,66977,66089.32,-887.679999999993,1
242,65651,65000.866,-650.1339999999982,1
243,65250,64604.108,-645.8919999999998,1
244,66562,65980.316,-581.6839999999938,1
245,70456,69652.728,-803.2719999999972,1
246,76790,76003.045,-786.9550000000017,1
247,82028,80873.406,-1154.5939999999973,1
248,83671,82589.929,-1081.0709999999963,1
249,84051,83115.823,-935.176999999996,1
250,84152,83098.083,-1053.9170000000013,1
251,83619,82880.126,-738.8739999999962,1
252,83484,82597.47,-886.5299999999988,1
253,82881,82017.176,-863.8239999999932,1
254,82146,81308.607,-837.3929999999964,1
255,81228,80494.163,-733.8369999999995,1
256,81027,80239.73,-787.2700000000041,1
257,81584,80862.2,-721.8000000000029,1
258,82435,81467.068,-967.9320000000007,1
259,83837,82993.182,-843.8179999999993,1
260,85029,83418.062,-1610.9379999999946,1
261,81431,80813.763,-617.2369999999937,1
262,77083,76319.546,-763.4539999999979,1
263,72686,71898.299,-787.7010000000009,1
264,68899,68179.443,-719.5570000000007,1
265,66494,66035.984,-458.01600000000326,1
266,65163,64661.186,-501.8139999999985,1
267,64790,64299.249,-490.75099999999657,1
268,65846,65212.193,-633.8070000000007,1
269,68972,68401.718,-570.2820000000065,1
270,74641,74059.196,-581.8040000000037,1
271,79722,79036.477,-685.523000000001,1
272,82086,81325.881,-760.119000000006,1
273,83383,82589.593,-793.4070000000065,1
274,83652,83141.162,-510.8380000000034,1
275,83580,82869.036,-710.9640000000072,1
276,82634,82087.999,-546.0010000000038,1
277,82371,81875.544,-495.4560000000056,1
278,81960,81090.984,-869.0160000000033,1
279,80877,80347.983,-529.0170000000071,1
280,80890,80477.752,-412.24800000000687,1
281,81595,80677.723,-917.2770000000019,1
282,81772,80571.313,-1200.6870000000054,1
283,81120,80992.714,-127.28599999999278,1
284,82955,81453.6,-1501.3999999999942,1
285,79974,78695.737,-1278.2630000000063,1
286,75815,74648.792,-1166.2079999999987,1
287,71894,70499.979,-1394.0209999999934,1
288,67952,66973.043,-978.9569999999949,1
289,65518,64726.893,-791.1070000000036,1
290,63874,63228.982,-645.0179999999964,1
291,63402,62776.419,-625.5809999999983,1
292,63506,63027.361,-478.63900000000285,1
