dap,target,error,class,class2
76626,75224.064,-1401.936,1,1
71443,70608.158,-834.842,0,0
67635,67025.095,-609.905,0,0
65433,64909.208,-523.792,0,0
64526,63990.414,-535.586,0,0
64198,63711.616,-486.384,0,0
65391,65133.606,-257.394,0,0
69227,68858.811,-368.189,0,0
75798,75326.091,-471.909,1,1
80560,79406.36,-1153.64,1,1
81706,80444.194,-1261.806,1,1
81473,79877.696,-1595.304,1,1
79955,79428.728,-526.272,1,1
79923,79369.488,-553.512,1,1
79913,79352.184,-560.816,1,1
80412,79646.331,-765.669,1,1
80220,79846.826,-373.174,1,1
80642,80077.266,-564.734,1,1
81267,81064.203,-202.797,1,1
82719,81894.748,-824.252,1,1
83582,82481.487,-1100.513,1,1
84045,82983.045,-1061.955,1,1
83971,84300.204,329.204,1,1
82070,81576.1,-493.9,1,1
77367,76632.909,-734.091,1,1
72519,71581.079,-937.921,1,1
68152,67392.731,-759.269,0,0
65598,64895.505,-702.495,0,0
64289,63679.164,-609.836,0,0
63695,63068.415,-626.585,0,0
64778,64150.059,-627.941,0,0
67716,67496.882,-219.118,0,0
73937,73529.56,-407.44,1,1
78331,77476.561,-854.439,1,1
81534,79434.051,-2099.949,1,1
81565,80220.516,-1344.484,1,1
81750,80793.665,-956.335,1,1
82307,80959.652,-1347.348,1,1
82399,81668.527,-730.473,1,1
83175,82328.805,-846.195,1,1
83880,82882.724,-997.276,1,1
84196,83557.769,-638.231,1,1
85276,84351.635,-924.365,1,1
85891,84882.231,-1008.769,1,1
85516,84947.507,-568.493,1,1
85395,85030.925,-364.075,1,1
88458,85881.815,-2576.185,1,1
84587,82791.403,-1795.597,1,1
78243,77554.612,-688.388,1,1
73205,72261.681,-943.319,1,1
68713,67827.445,-885.555,0,0
65821,65102.056,-718.944,0,0
64225,63563.442,-661.558,0,0
63631,62911.573,-719.427,0,0
64562,64051.738,-510.262,0,0
67939,67183.742,-755.258,0,0
74121,72867.197,-1253.803,1,1
78445,76847.146,-1597.854,1,1
79585,78524.074,-1060.926,1,1
80444,79048.535,-1395.465,1,1
81193,79693.101,-1499.899,1,1
81730,79988.779,-1741.221,1,1
81357,80524.815,-832.185,1,1
82019,80899.256,-1119.744,1,1
82448,80874.083,-1573.917,1,1
82759,80869.978,-1889.022,1,1
83476,80848.737,-2627.263,1,1
84237,81557.278,-2679.722,1,1
83161,81335.942,-1825.058,1,1
84568,81721.011,-2846.989,1,1
84988,82648.473,-2339.527,1,1
80943,79712.755,-1230.245,1,1
76123,75097.572,-1025.428,1,1
71384,70293.527,-1090.473,0,0
67211,66521.256,-689.744,0,0
64732,64133.264,-598.736,0,0
63447,62802.459,-644.541,0,0
