,dap,target,class,
711,22.540785,20.953366,1,","
712,22.559774,25.836584,1,","
713,23.19664,29.731663,1,","
714,24.181033,26.726206,1,","
715,32.419404,27.285825,1,","
716,42.286903,64.163741,2,","
717,28.70474,30.937441,1,","
718,23.564212,22.395993,1,","
719,21.463942,18.814692,1,","
720,19.447511,19.639566,1,","
721,19.45721,19.987927,1,","
722,19.278006,20.132197,1,","
723,19.352466,19.114435,1,","
724,20.560952,21.646517,1,","
725,23.522139,21.654844,1,","
726,33.855292,40.632833,1,","
727,37.695589,20.836004,1,","
728,35.93798,21.058266,1,","
729,36.164479,21.389348,1,","
730,33.646737,22.674742,1,","
731,31.141711,24.614737,1,","
732,31.982348,24.138386,1,","
733,28.859266,56.563897,2,","
734,27.521718,24.267093,1,","
735,29.196899,28.753565,1,","
736,27.428739,22.17608,1,","
737,28.69724,23.206259,1,","
738,27.580637,25.552886,1,","
739,31.373034,36.755237,1,","
740,38.529976,37.327954,1,","
741,30.973203,38.151455,1,","
742,25.862404,31.780681,1,","
743,22.857767,34.708331,1,","
744,20.874802,19.660027,1,","
745,20.692355,22.957447,1,","
746,20.027265,20.129696,1,","
747,20.069278,18.602496,1,","
748,20.638467,21.27051,1,","
749,22.573146,21.814817,1,","
750,32.320897,37.564438,1,","
751,35.396928,29.608986,1,","
752,35.731421,48.520018,1,","
753,35.391557,23.213539,1,","
754,33.897346,24.779267,1,","
755,32.282731,41.936098,1,","
756,33.383253,26.932074,1,","
757,30.235166,30.599313,1,","
758,28.393888,23.604485,1,","
759,26.231078,22.658509,1,","
760,26.075268,23.844904,1,","
761,27.476938,27.317055,1,","
762,30.816566,25.007689,1,","
763,34.719679,24.249975,1,","
764,44.238104,31.376403,1,","
765,32.988525,41.130783,1,","
766,27.446133,25.159974,1,","
767,23.183774,24.968306,1,","
768,23.721026,24.210703,1,","
769,22.500682,24.711641,1,","
770,21.722381,22.942118,1,","
771,22.182078,28.267305,1,","
772,23.786862,27.125198,1,","
773,27.322345,23.902233,1,","
774,43.876668,23.600911,1,","
775,48.995264,26.399769,1,","
776,43.058721,22.758822,1,","
777,39.133006,31.080931,1,","
778,36.452311,24.410769,1,","
779,34.324857,31.907544,1,","
780,32.358204,28.602251,1,","
781,31.778091,26.251629,1,","
782,29.266989,24.62077,1,","
783,27.22833,23.103359,1,","
784,25.715323,22.113687,1,","
785,26.922609,23.908792,1,","
786,27.112823,23.405413,1,","
787,31.877623,20.869156,1,","
788,38.238038,23.869621,1,","
789,30.994849,24.735734,1,","
790,26.290428,21.619233,1,","
791,24.269167,22.89586,1,","
792,25.011047,45.76226,1,","
793,25.149588,52.253979,1,","
794,24.816591,24.641328,1,","
795,24.928046,26.662498,1,","
796,25.360758,26.152978,1,","
797,25.393851,23.937364,1,","
798,28.861117,24.773821,1,","
799,34.533254,21.254846,1,","
800,35.483811,22.159464,1,","
801,36.065617,24.918554,1,","
802,34.664898,25.912376,1,","
803,32.985386,24.687487,1,","
804,28.815928,24.644792,1,","
805,27.012523,22.80755,1,","
806,25.464235,22.389659,1,","
807,25.437722,27.740251,1,","
808,25.642244,24.338524,1,","
809,27.016891,25.471411,1,","
810,27.217195,21.490002,1,","
811,34.825855,21.463355,1,","
812,43.184033,26.283453,1,","
813,34.313977,25.502292,1,","
814,27.697369,25.232509,1,","
815,24.330293,22.552765,1,","
816,23.578904,22.003268,1,","
817,23.075176,23.823062,1,","
818,22.81603,21.1303,1,","
819,22.848069,21.625088,1,","
820,22.732477,21.801879,1,","
821,22.705715,23.478742,1,","
822,23.267963,23.379629,1,","
823,24.186176,22.597566,1,","
824,24.363444,22.197682,1,","
825,24.480803,22.433395,1,","
826,24.222619,21.575529,1,","
827,23.782814,22.713977,1,","
828,23.048095,21.1258,1,","
829,22.174279,23.263152,1,","
830,21.590675,26.200434,1,","
831,21.434269,24.299034,1,","
832,21.64102,24.997427,1,","
833,22.985933,25.367157,1,","
834,23.135227,26.063054,1,","
835,25.987961,22.27758,1,","
836,36.434874,31.202008,1,","
837,29.307831,23.213134,1,","
838,23.427409,21.025545,1,","
839,22.200452,19.928303,1,","
840,22.183063,18.461473,1,","
841,21.260176,18.822489,1,","
842,20.27689,18.518596,1,","
843,20.401593,18.711034,1,","
844,21.257684,19.294779,1,","
845,23.39902,46.307879,1,","
846,33.023991,23.539283,1,","
847,38.349685,25.625868,1,","
848,33.986698,49.843576,1,","
849,32.736377,31.177724,1,","
850,32.130197,25.959573,1,","
851,32.408406,25.66583,1,","
852,28.890559,27.484061,1,","
853,27.63332,29.051612,1,","
854,25.943765,22.9016,1,","
855,24.899355,20.765909,1,","
856,24.785986,20.444166,1,","
857,26.622516,22.371061,1,","
858,26.763371,24.865511,1,","
859,32.939834,24.553885,1,","
860,40.507703,37.29927,1,","
861,32.111852,30.55521,1,","
862,25.403325,30.198754,1,","
863,22.619912,22.385343,1,","
864,24.469592,24.933798,1,","
865,25.316644,34.304514,1,","
866,24.583029,23.731345,1,","
867,24.777514,22.817072,1,","
868,25.972323,24.071825,1,","
869,31.792699,33.970486,1,","
870,44.45993,58.128346,2,","
871,42.978894,44.091462,1,","
