dap,target,,
81330,80574.217,,
81732,81339.013,,
82411,82344.464,,
80888,79972.352,,
76319,75498.776,,
71641,71213.108,,
68547,67805.028,,
66486,66061.844,,
65413,65007.454,,
65618,64941.261,,
66666,66363.005,,
70475,70111.951,,
76767,76375.44,,
81490,80737.526,,
83337,82785.869,,
84104,83404.221,,
83716,83381.665,,
83695,83134.167,,
83067,82607.449,,
82647,82050.896,,
81563,81205.648,,
80387,80157.307,,
80636,80234.754,,
81259,80864.019,,
81533,81106.861,,
82402,82229.751,,
84113,84075.492,,
82493,82107.956,,
78136,77703.54,,
73708,73578.53,,
71241,70670.63,,
69492,69114.234,,
68740,68587.404,,
68865,68718.704,,
70486,70377.157,,
74675,74630.795,,
81302,81115.272,,
85837,84924.86,,
86783,85241.02,,
85953,84683.719,,
84795,84249.405,,
83414,83750.798,,
82885,82972.383,,
81516,81622.498,,
80801,79843.885,,
79475,78614.648,,
78906,78027.006,,
79346,78284.765,,
79363,78733.146,,
80116,79720.984,,
81451,81211.696,,
80067,79932.002,,
76900,76419.312,,
73278,72615.326,,
70033,69502.628,,
68163,67705.313,,
67305,66953.151,,
67080,66854.335,,
67966,67465.555,,
69588,69352.496,,
71942,72059.668,,
74872,74018.373,,
76868,75131.293,,
76943,75301.554,,
75616,74978.746,,
74540,74118.32,,
73287,72923.117,,
72090,71927.743,,
70858,70870.008,,
70786,70721.674,,
71478,71181.467,,
72688,72232.208,,
74045,73099.621,,
75678,74199.184,,
77342,75935.539,,
75337,75113.667,,
72868,72526.659,,
70432,69274.319,,
67190,66636.429,,
65222,65042.838,,
64767,64230.763,,
64475,63999.97,,
64968,64537.443,,
66159,65948.341,,
67981,67782.167,,
69547,69326.822,,
71260,70031.043,,
72412,69603.863,,
71559,68888.919,,
69569,68617.072,,
68678,68461.722,,
68412,68243.706,,
67904,68065.546,,
68281,68535.641,,
69519,69528.363,,
71714,71103.249,,
73187,72219.29,,
75182,73627.088,,
76901,76139.736,,
75368,74807.882,,
72189,71338.565,,
68878,67765.447,,
65928,65322.894,,
64516,63967.036,,
63850,63496.468,,
64201,63975.434,,
66078,65845.481,,
70462,70290.158,,
77085,76727.797,,
81928,80946.089,,
82937,82191.747,,
82414,81729.933,,
81811,81508.634,,
81086,81740.302,,
80247,81865.237,,
80996,81257.328,,
81288,80294.49,,
80277,79020.515,,
79900,78634.021,,
80618,78812.902,,
80736,79081.444,,
81643,79999.593,,
81839,82070.225,,
79571,79986.238,,
76124,75635.028,,
71893,71335.841,,
68318,68235.216,,
66595,66530.722,,
66302,66106.435,,
66336,66425.156,,
68017,68340.077,,
71841,72543.029,,
78372,79050.243,,
82307,82918.821,,
83748,83087.028,,
83160,82116.087,,
82075,81372.951,,
81506,80980.188,,
80594,80530.236,,
79872,79881.728,,
79080,79453.005,,
78975,79358.213,,
79442,79980.39,,
80083,80656.925,,
81925,81311.362,,
83188,81942.325,,
84008,83677.544,,
81980,81390.733,,
76989,76997.793,,
72782,72607.261,,
69820,69326.255,,
67832,67493.529,,
67258,66534.325,,
67342,66622.946,,
68890,67899.344,,
72903,71787.355,,
78901,77788.896,,
83709,82099.795,,
84894,83894.057,,
84452,84187.465,,
84616,84253.441,,
84410,84145.364,,
84399,84234.848,,
83600,84114.048,,
82982,83594.866,,
82444,82007.071,,
83783,81922.313,,
83431,82964.176,,
84433,84029.69,,
86388,85314.959,,
88321,87726.789,,
86208,86468.988,,
83050,82780.648,,
79218,78891.043,,
76936,76201.715,,
75334,74922.009,,
75166,74616.026,,
75805,75248.343,,
77862,77137.112,,
82299,82036.326,,
88920,88572.343,,
93001,92122.805,,
92703,91631.659,,
90613,90105.785,,
88499,88775.136,,
86496,87548.597,,
86073,86653.443,,
85411,85680.069,,
83568,84370.046,,
83646,83190.901,,
83811,83013.587,,
84355,83491.731,,
84961,84110.311,,
86744,85638.234,,
89239,88035.028,,
87436,86936.008,,
83414,83124.552,,
79545,79207.417,,
77015,76548.414,,
75558,75198.208,,
74905,74743.375,,
75413,75005.24,,
77129,77143.607,,
80643,81400.866,,
86575,87479.719,,
90916,90386.424,,
91036,89123.92,,
88794,86438.245,,
85718,84223.429,,
82903,82253.045,,
81384,80669.571,,
80140,79283.278,,
78624,77906.385,,
77009,76709.645,,
76761,76632.148,,
76999,77013.115,,
77980,76911.044,,
79147,77650.942,,
81054,78734.57273,,
79564,78930.81818,,
76057,76276.48182,,
72799,72562.30909,,
69089,68905.439,,
68153,67400.9,,
67032,66565.51,,
67048,66653.248,,
67696,67381.026,,
69461,69333.516,,
71926,71819.508,,
74213,73754.673,,
75634,74635.933,,
75426,74684.091,,
74330,74069.235,,
73751,73260.581,,
72979,72567.591,,
71800,72117.757,,
71484,71654.678,,
71574,72117.409,,
72446,72975.563,,
73343,73875.868,,
75221,74461.322,,
76277,75363.116,,
77661,76476.409,,
76178,74965.132,,
73176,72022.038,,
69686,68614.685,,
66213,65793.459,,
64515,63770.186,,
63326,62682.35,,
62800,62126.033,,
63041,62369.301,,
64101,63324.498,,
65945,64897.282,,
67888,66762.836,,
69571,69218.186,,
71147,70864.339,,
71703,71545.658,,
72174,71780.449,,
71977,71269.458,,
71518,70206.814,,
70585,69546.7,,
70256,69166.41,,
71238,69785.339,,
72437,70976.663,,
73617,72178.19,,
75392,73951.291,,
77594,76695.32,,
76110,75968.523,,
72696,72527.408,,
69485,69140.859,,
66411,66684.888,,
65048,65563.067,,
65486,65355.177,,
65963,65972.634,,
68422,68213.28,,
73198,73071.255,,
80346,79800.813,,
84884,83594.295,,
85302,83776.973,,
84103,82161.274,,
82885,80840.447,,
81234,79786.887,,
80270,79087.139,,
79192,78275.098,,
78405,77530.295,,
77728,77066.947,,
78349,77465.026,,
79382,78407.311,,
79483,79233.609,,
81408,80059.356,,
83198,81789.182,,
80454,80181.723,,
75966,75513.272,,
71331,70783.658,,
68501,67205.313,,
66217,65419.145,,
64802,64440.65,,
64627,64363.664,,
65911,65786.119,,
69934,69762.982,,
76304,75432.375,,
