,dap,class,
711,77802,1,","
712,77774,1,","
713,78807,1,","
714,79649,1,","
715,81123,1,","
716,82334,1,","
717,80173,1,","
718,75978,1,","
719,70844,0,","
720,67528,0,","
721,65452,0,","
722,64569,0,","
723,64643,0,","
724,65768,0,","
725,69767,0,","
726,75779,1,","
727,80539,1,","
728,80809,1,","
729,80622,1,","
730,80317,1,","
731,80364,1,","
732,80883,1,","
733,81077,1,","
734,80589,1,","
735,80018,1,","
736,80055,1,","
737,80713,1,","
738,81330,1,","
739,81732,1,","
740,82411,1,","
741,80888,1,","
742,76319,1,","
743,71641,1,","
744,68547,0,","
745,66486,0,","
746,65413,0,","
747,65618,0,","
748,66666,0,","
749,70475,0,","
750,76767,1,","
751,81490,1,","
752,83337,1,","
753,84104,1,","
754,83716,1,","
755,83695,1,","
756,83067,1,","
757,82647,1,","
758,81563,1,","
759,80387,1,","
760,80636,1,","
761,81259,1,","
762,81533,1,","
763,82402,1,","
764,84113,1,","
765,82493,1,","
766,78136,1,","
767,73708,1,","
768,71241,0,","
769,69492,0,","
770,68740,0,","
771,68865,0,","
772,70486,0,","
773,74675,1,","
774,81302,1,","
775,85837,1,","
776,86783,1,","
777,85953,1,","
778,84795,1,","
779,83414,1,","
780,82885,1,","
781,81516,1,","
782,80801,1,","
783,79475,1,","
784,78906,1,","
785,79346,1,","
786,79363,1,","
787,80116,1,","
788,81451,1,","
789,80067,1,","
790,76900,1,","
791,73278,1,","
792,70033,0,","
793,68163,0,","
794,67305,0,","
795,67080,0,","
796,67966,0,","
797,69588,0,","
798,71942,1,","
799,74872,1,","
800,76868,1,","
801,76943,1,","
802,75616,1,","
803,74540,1,","
804,73287,1,","
805,72090,1,","
806,70858,0,","
807,70786,0,","
808,71478,1,","
809,72688,1,","
810,74045,1,","
811,75678,1,","
812,77342,1,","
813,75337,1,","
814,72868,1,","
815,70432,0,","
816,67190,0,","
817,65222,0,","
818,64767,0,","
819,64475,0,","
820,64968,0,","
821,66159,0,","
822,67981,0,","
823,69547,0,","
824,71260,0,","
825,72412,1,","
826,71559,1,","
827,69569,0,","
828,68678,0,","
829,68412,0,","
830,67904,0,","
831,68281,0,","
832,69519,0,","
833,71714,1,","
834,73187,1,","
835,75182,1,","
836,76901,1,","
837,75368,1,","
838,72189,1,","
839,68878,0,","
840,65928,0,","
841,64516,0,","
842,63850,0,","
843,64201,0,","
844,66078,0,","
845,70462,0,","
846,77085,1,","
847,81928,1,","
848,82937,1,","
849,82414,1,","
850,81811,1,","
851,81086,1,","
852,80247,1,","
853,80996,1,","
854,81288,1,","
855,80277,1,","
856,79900,1,","
857,80618,1,","
858,80736,1,","
859,81643,1,","
860,81839,1,","
861,79571,1,","
862,76124,1,","
863,71893,1,","
864,68318,0,","
865,66595,0,","
866,66302,0,","
867,66336,0,","
868,68017,0,","
869,71841,1,","
870,78372,1,","
871,82307,1,","
872,83748,1,","
873,83160,1,","
874,82075,1,","
875,81506,1,","
876,80594,1,","
877,79872,1,","
878,79080,1,","
879,78975,1,","
880,79442,1,","
881,80083,1,","
882,81925,1,","
883,83188,1,","
884,84008,1,","
885,81980,1,","
886,76989,1,","
887,72782,1,","
888,69820,0,","
889,67832,0,","
890,67258,0,","
891,67342,0,","
892,68890,0,","
893,72903,1,","
894,78901,1,","
895,83709,1,","
896,84894,1,","
897,84452,1,","
898,84616,1,","
899,84410,1,","
900,84399,1,","
901,83600,1,","
902,82982,1,","
903,82444,1,","
904,83783,1,","
905,83431,1,","
906,84433,1,","
907,86388,1,","
908,88321,1,","
909,86208,1,","
910,83050,1,","
911,79218,1,","
912,76936,1,","
913,75334,1,","
914,75166,1,","
915,75805,1,","
916,77862,1,","
917,82299,1,","
918,88920,1,","
919,93001,1,","
920,92703,1,","
921,90613,1,","
922,88499,1,","
923,86496,1,","
924,86073,1,","
925,85411,1,","
926,83568,1,","
927,83646,1,","
928,83811,1,","
929,84355,1,","
930,84961,1,","
931,86744,1,","
932,89239,1,","
933,87436,1,","
934,83414,1,","
935,79545,1,","
936,77015,1,","
937,75558,1,","
938,74905,1,","
939,75413,1,","
940,77129,1,","
941,80643,1,","
942,86575,1,","
943,90916,1,","
944,91036,1,","
945,88794,1,","
946,85718,1,","
947,82903,1,","
948,81384,1,","
949,80140,1,","
950,78624,1,","
951,77009,1,","
952,76761,1,","
953,76999,1,","
954,77980,1,","
955,79147,1,","
956,81054,1,","
957,79564,1,","
958,76057,1,","
959,72799,1,","
960,69089,0,","
961,68153,0,","
962,67032,0,","
963,67048,0,","
964,67696,0,","
965,69461,0,","
966,71926,1,","
967,74213,1,","
968,75634,1,","
969,75426,1,","
970,74330,1,","
971,73751,1,","
972,72979,1,","
973,71800,1,","
974,71484,1,","
975,71574,1,","
976,72446,1,","
977,73343,1,","
978,75221,1,","
979,76277,1,","
980,77661,1,","
981,76178,1,","
982,73176,1,","
983,69686,0,","
984,66213,0,","
985,64515,0,","
986,63326,0,","
987,62800,0,","
988,63041,0,","
989,64101,0,","
990,65945,0,","
991,67888,0,","
992,69571,0,","
993,71147,0,","
994,71703,1,","
995,72174,1,","
996,71977,1,","
997,71518,1,","
998,70585,0,","
999,70256,0,","
1000,71238,0,","
1001,72437,1,","
1002,73617,1,","
1003,75392,1,","
1004,77594,1,","
1005,76110,1,","
1006,72696,1,","
1007,69485,0,","
1008,66411,0,","
1009,65048,0,","
1010,65486,0,","
1011,65963,0,","
1012,68422,0,","
1013,73198,1,","
1014,80346,1,","
1015,84884,1,","
1016,85302,1,","
1017,84103,1,","
1018,82885,1,","
1019,81234,1,","
1020,80270,1,","
1021,79192,1,","
1022,78405,1,","
1023,77728,1,","
1024,78349,1,","
1025,79382,1,","
1026,79483,1,","
1027,81408,1,","
1028,83198,1,","
1029,80454,1,","
1030,75966,1,","
1031,71331,0,","
1032,68501,0,","
1033,66217,0,","
1034,64802,0,","
1035,64627,0,","
1036,65911,0,","
1037,69934,0,","
1038,76304,1,","
